actualDeliveryQuantity,batch,deliveryDocument,deliveryDocumentItem,deliveryQuantityUnit,itemBillingBlockReason,lastChangeDate_item,plant,referenceSdDocument,referenceSdDocumentItem,storageLocation,actualGoodsMovementDate,creationDate,deliveryBlockReason,hdrGeneralIncompletionStatus,headerBillingBlockReason,lastChangeDate_header,overallGoodsMovementStatus,overallPickingStatus,overallProofOfDeliveryStatus,shippingPoint,actualGoodsMovementTime_hours,actualGoodsMovementTime_minutes,actualGoodsMovementTime_seconds,actualGoodsMovementTime_formatted,creationTime_hours,creationTime_minutes,creationTime_seconds,creationTime_formatted
1,,80738076,000010,PC,,,WB05,740556,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738076,000020,PC,,,WB05,740556,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738076,000030,PC,,,WB05,740556,000030,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738076,000040,PC,,,WB05,740556,000040,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738076,000050,PC,,,WB05,740556,000050,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,,80738077,000010,PC,,,WB05,740557,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738077,000020,PC,,,WB05,740557,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738077,000030,PC,,,WB05,740557,000030,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738077,000040,PC,,,WB05,740557,000040,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738077,000050,PC,,,WB05,740557,000050,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738078,000010,PC,,,WB05,740558,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738079,000010,PC,,,WB05,740559,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738080,000010,PC,,,WB05,740560,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738081,000010,PC,,,WB05,740561,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738082,000010,PC,,,WB05,740562,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738082,000020,PC,,,WB05,740562,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
2,ABCD,80738083,000010,PC,,,WB05,740563,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,,80738084,000010,PC,,,WB05,740564,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738084,000020,PC,,,WB05,740564,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738084,000030,PC,,,WB05,740564,000030,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738084,000040,PC,,,WB05,740564,000040,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738084,000050,PC,,,WB05,740564,000050,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738084,000060,PC,,,WB05,740564,000060,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738085,000010,PC,,,WB05,740565,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738086,000010,PC,,,WB05,740566,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738087,000010,PC,,,WB05,740567,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738088,000010,PC,,,WB05,740568,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738089,000010,PC,,,WB05,740569,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738090,000010,PC,,,WB05,740570,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738091,000010,PC,,,WB05,740571,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738092,000010,PC,,,WB05,740572,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738093,000010,PC,,,WB05,740573,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738093,000020,PC,,,WB05,740573,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,,80738094,000010,PC,,,WB05,740574,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
2,ABCD,80738094,000020,PC,,,WB05,740574,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738095,000010,PC,,,WB05,740575,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738096,000010,PC,,,WB05,740576,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738097,000010,PC,,,WB05,740577,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738098,000010,PC,,,WB05,740578,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738099,000010,PC,,,WB05,740579,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738100,000010,PC,,,WB05,740580,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738101,000010,PC,,,WB05,740581,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738102,000010,PC,,,WB05,740582,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738103,000010,PC,,,WB05,740583,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738104,000010,PC,,,WB05,740586,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738105,000010,PC,,,WB05,740587,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738106,000010,PC,,,WB05,740590,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738107,000010,PC,,,WB05,740592,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738108,000010,PC,,,WB05,740595,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,,80738109,000010,PC,,,WB05,740598,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738109,000020,PC,,,WB05,740598,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738109,000030,PC,,,WB05,740598,000030,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738109,000040,PC,,,WB05,740598,000040,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738110,000010,PC,,,WB05,740601,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,,80738111,000010,PC,,,WB05,740604,000010,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738111,000020,PC,,,WB05,740604,000020,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738111,000030,PC,,,WB05,740604,000030,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738111,000040,PC,,,WB05,740604,000040,5031,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
48,,80737721,000010,PC,,,1920,740506,000010,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,13,06:49:13
10,,80737721,000020,PC,,,1920,740506,000020,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,13,06:49:13
8,,80737721,000030,PC,,,1920,740506,000030,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,13,06:49:13
4,,80737721,000040,PC,,,1920,740506,000040,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,13,06:49:13
11,,80737721,000050,PC,,,1920,740506,000050,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,13,06:49:13
24,,80737722,000010,PC,,,1920,740507,000010,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,16,06:49:16
15,,80737722,000020,PC,,,1920,740507,000020,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,16,06:49:16
34,,80737722,000030,PC,,,1920,740507,000030,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,16,06:49:16
17,,80737722,000040,PC,,,1920,740507,000040,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,6,49,16,06:49:16
1,,80737723,000010,PC,,,1920,740508,000010,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,11,19,3,11:19:03
1,,80737723,000020,PC,,,1920,740508,000020,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,11,19,3,11:19:03
1,,80737723,000030,PC,,,1920,740508,000030,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,11,19,3,11:19:03
1,,80737723,000040,PC,,,1920,740508,000040,V2S2,,2025-03-31 00:00:00+00:00,,C,,,A,C,,1920,0,0,0,00:00:00,11,19,3,11:19:03
1,ABCD,80737921,000010,PC,,,KA05,740545,000010,5078,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,KA05,0,0,0,00:00:00,5,1,59,05:01:59
1,ABCD,80737922,000010,PC,,,MH05,740546,000010,5085,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,MH05,0,0,0,00:00:00,5,1,59,05:01:59
1,ABCD,80738040,000010,PC,,,WB05,740509,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738041,000010,PC,,,WB05,740510,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738042,000010,PC,,,WB05,740511,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738043,000010,PC,,,WB05,740512,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738044,000010,PC,,,WB05,740513,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738045,000010,PC,,,WB05,740514,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738046,000010,PC,,,WB05,740515,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,,80738047,000010,PC,,,WB05,740516,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
2,ABCD,80738047,000020,PC,,,WB05,740516,000020,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738048,000010,PC,,,WB05,740517,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738049,000010,PC,,,WB05,740518,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738050,000010,PC,,,WB05,740519,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738051,000010,PC,,,WB05,740520,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738052,000010,PC,,,WB05,740521,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738053,000010,PC,,,WB05,740522,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738054,000010,PC,,,WB05,740523,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738055,000010,PC,,,WB05,740524,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738056,000010,PC,,,WB05,740525,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738057,000010,PC,,,WB05,740526,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738058,000010,PC,,,WB05,740527,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738058,000020,PC,,,WB05,740527,000020,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738059,000010,PC,,,WB05,740528,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738060,000010,PC,,,WB05,740529,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738061,000010,PC,,,WB05,740530,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738062,000010,PC,,,WB05,740531,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
2,ABCD,80738063,000010,PC,,,WB05,740534,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738064,000010,PC,,,WB05,740536,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738065,000010,PC,,,WB05,740538,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738066,000010,PC,,,WB05,740540,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738067,000010,PC,,,WB05,740547,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738068,000010,PC,,,WB05,740548,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,,80738069,000010,PC,,,WB05,740549,000010,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
1,ABCD,80738069,000020,PC,,,WB05,740549,000020,5101,,2025-04-02 00:00:00+00:00,,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
